,word,format,onset,duration
0,[1],,0.0,0.5
1,SOTH,,0.5,0.5
2,OY,,1.0,0.5
3,REE,,1.5,0.5
4,ESBONT,,2.0,0.5
5,OS,,2.5,0.5
6,SIND,,3.0,0.5
7,OSE,,3.5,0.5
8,OS,,4.0,0.5
9,VOT,,4.5,0.5
10,POODOBLE,,5.0,0.5
11,FOM,,5.5,0.5
12,FIDING,,6.0,0.5
13,N,,6.5,0.5
14,[2],,7.0,0.5
15,KNORNEPTS,,7.5,0.5
16,GOWLED,,8.0,0.5
17,TROR,,8.5,0.5
18,CHOVYING,,9.0,0.5
19,EERSHQUORT,,9.5,0.5
20,WORED,,10.0,0.5
21,HOR,,10.5,0.5
22,BOUN,,11.0,0.5
23,ODSTIED,,11.5,0.5
24,EN,,12.0,0.5
25,NONIOUS,,12.5,0.5
26,FIECED,,13.0,0.5
27,N,,13.5,0.5
28,[3],,14.0,0.5
29,E,,14.5,0.5
30,SNINK,,15.0,0.5
31,HOO,,15.5,0.5
32,ONK,,16.0,0.5
33,COING,,16.5,0.5
34,UNFOBS,,17.0,0.5
35,RO,,17.5,0.5
36,TADE,,18.0,0.5
37,BLESE,,18.5,0.5
38,SNINGS,,19.0,0.5
39,UD,,19.5,0.5
40,NOY,,20.0,0.5
41,N,,20.5,0.5
42,[1],,21.0,0.5
43,COPIES,,21.5,0.5
44,OF,,22.0,0.5
45,THIS,,22.5,0.5
46,LETTER,,23.0,0.5
47,WERE,,23.5,0.5
48,MADE,,24.0,0.5
49,AVALIABLE,,24.5,0.5
50,TO,,25.0,0.5
51,THE,,25.5,0.5
52,PRESS,,26.0,0.5
53,AND,,26.5,0.5
54,PUBLIC,,27.0,0.5
55,S,,27.5,0.5
56,[2],,28.0,0.5
57,NEW,,28.5,0.5
58,IDEAS,,29.0,0.5
59,FOR,,29.5,0.5
60,IMPROVING,,30.0,0.5
61,NUTRITION,,30.5,0.5
62,CAME,,31.0,0.5
63,WITH,,31.5,0.5
64,THE,,32.0,0.5
65,STUDY,,32.5,0.5
66,OF,,33.0,0.5
67,SOIL,,33.5,0.5
68,TREATMENT,,34.0,0.5
69,S,,34.5,0.5
70,[3],,35.0,0.5
71,THEY,,35.5,0.5
72,ARE,,36.0,0.5
73,TRYING,,36.5,0.5
74,TO,,37.0,0.5
75,DEMONSTRATE,,37.5,0.5
76,SOME,,38.0,0.5
77,DIFFERENT,,38.5,0.5
78,WAYS,,39.0,0.5
79,OF,,39.5,0.5
80,TEACHING,,40.0,0.5
81,AND,,40.5,0.5
82,LEARNING,,41.0,0.5
83,S,,41.5,0.5
84,[4],,42.0,0.5
85,I,,42.5,0.5
86,WANTED,,43.0,0.5
87,TO,,43.5,0.5
88,HELP,,44.0,0.5
89,SO,,44.5,0.5
90,THAT,,45.0,0.5
91,WE,,45.5,0.5
92,COULD,,46.0,0.5
93,FIND,,46.5,0.5
94,TIME,,47.0,0.5
95,TO,,47.5,0.5
96,PLAY,,48.0,0.5
97,S,,48.5,0.5
98,[5],,49.0,0.5
99,THEY,,49.5,0.5
100,ARE,,50.0,0.5
101,THE,,50.5,0.5
102,MOST,,51.0,0.5
103,BEAUTIFUL,,51.5,0.5
104,PART,,52.0,0.5
105,OF,,52.5,0.5
106,THAT,,53.0,0.5
107,LITTLE,,53.5,0.5
108,PIECE,,54.0,0.5
109,OF,,54.5,0.5
110,NATURE,,55.0,0.5
111,S,,55.5,0.5
112,[6],,56.0,0.5
113,HE,,56.5,0.5
114,WANTED,,57.0,0.5
115,TO,,57.5,0.5
116,GO,,58.0,0.5
117,BACK,,58.5,0.5
118,TO,,59.0,0.5
119,HARVARD,,59.5,0.5
120,FOR,,60.0,0.5
121,ANOTHER,,60.5,0.5
122,YEAR,,61.0,0.5
123,OF,,61.5,0.5
124,PLAYWRITING,,62.0,0.5
125,S,,62.5,0.5
126,[4],,63.0,0.5
127,REE,,63.5,0.5
128,IMPORLENCE,,64.0,0.5
129,OY,,64.5,0.5
130,MORTIGRO,,65.0,0.5
131,RIZE,,65.5,0.5
132,EN,,66.0,0.5
133,SUME,,66.5,0.5
134,OOROMILS,,67.0,0.5
135,HOR,,67.5,0.5
136,BOUN,,68.0,0.5
137,CLOROUGHLY,,68.5,0.5
138,DIDORSTROTED,,69.0,0.5
139,N,,69.5,0.5
140,[5],,70.0,0.5
141,HU,,70.5,0.5
142,CONCOLERED,,71.0,0.5
143,OCISING,,71.5,0.5
144,O,,72.0,0.5
145,CAG,,72.5,0.5
146,OY,,73.0,0.5
147,BOUR,,73.5,0.5
148,LUT,,74.0,0.5
149,VEROUD,,74.5,0.5
150,FROT,,75.0,0.5
151,UCUO,,75.5,0.5
152,SOO,,76.0,0.5
153,N,,76.5,0.5
154,[6],,77.0,0.5
155,NOVE,,77.5,0.5
156,OY,,78.0,0.5
157,UR,,78.5,0.5
158,WAM,,79.0,0.5
159,OFURE,,79.5,0.5
160,FROT,,80.0,0.5
161,REE,,80.5,0.5
162,BIBBEST,,81.0,0.5
163,FIFFS,,81.5,0.5
164,WAM,,82.0,0.5
165,STULL,,82.5,0.5
166,OFO,,83.0,0.5
167,N,,83.5,0.5
168,[7],,84.0,0.5
169,AFTER,,84.5,0.5
170,THAT,,85.0,0.5
171,THEY,,85.5,0.5
172,HAD,,86.0,0.5
173,SAT,,86.5,0.5
174,FOR,,87.0,0.5
175,FIVE,,87.5,0.5
176,MINUTES,,88.0,0.5
177,WITHOUT,,88.5,0.5
178,SAYING,,89.0,0.5
179,A,,89.5,0.5
180,WORD,,90.0,0.5
181,S,,90.5,0.5
182,[8],,91.0,0.5
183,MOST,,91.5,0.5
184,OF,,92.0,0.5
185,US,,92.5,0.5
186,WOULD,,93.0,0.5
187,BE,,93.5,0.5
188,WILLING,,94.0,0.5
189,TO,,94.5,0.5
190,ADMIT,,95.0,0.5
191,THAT,,95.5,0.5
192,FORGIVENESS,,96.0,0.5
193,COMES,,96.5,0.5
194,HARD,,97.0,0.5
195,S,,97.5,0.5
196,[9],,98.0,0.5
197,NO,,98.5,0.5
198,ONE,,99.0,0.5
199,SUGGESTED,,99.5,0.5
200,THAT,,100.0,0.5
201,THE,,100.5,0.5
202,ETHICAL,,101.0,0.5
203,EFFECTS,,101.5,0.5
204,OF,,102.0,0.5
205,THE,,102.5,0.5
206,ART,,103.0,0.5
207,WERE,,103.5,0.5
208,IRRELEVANT,,104.0,0.5
209,S,,104.5,0.5
210,[7],,105.0,0.5
211,E,,105.5,0.5
212,WAM,,106.0,0.5
213,BORSTANTLY,,106.5,0.5
214,MEORTHING,,107.0,0.5
215,FOM,,107.5,0.5
216,CLUSK,,108.0,0.5
217,OTOUSE,,108.5,0.5
218,REE,,109.0,0.5
219,NEOCHNOURPOOD,,109.5,0.5
220,OY,,110.0,0.5
221,REE,,110.5,0.5
222,HORS,,111.0,0.5
223,N,,111.5,0.5
224,[8],,112.0,0.5
225,MONGHECERY,,112.5,0.5
226,WREW,,113.0,0.5
227,ORS,,113.5,0.5
228,REE,,114.0,0.5
229,VOLIENOL,,114.5,0.5
230,TEORERS,,115.0,0.5
231,UD,,115.5,0.5
232,RO,,116.0,0.5
233,REE,,116.5,0.5
234,TICE,,117.0,0.5
235,OY,,117.5,0.5
236,KANGADY,,118.0,0.5
237,N,,118.5,0.5
238,[9],,119.0,0.5
239,REE,,119.5,0.5
240,SOLCHOSERS,,120.0,0.5
241,REHONTED,,120.5,0.5
242,REE,,121.0,0.5
243,URPER,,121.5,0.5
244,EN,,122.0,0.5
245,WRO,,122.5,0.5
246,TUTTERS,,123.0,0.5
247,PROTTEN,,123.5,0.5
248,EN,,124.0,0.5
249,NEPOROUS,,124.5,0.5
250,TELDS,,125.0,0.5
251,N,,125.5,0.5
252,[10],,126.0,0.5
253,THE,,126.5,0.5
254,ATMOSPHERE,,127.0,0.5
255,IS,,127.5,0.5
256,THAT,,128.0,0.5
257,OF,,128.5,0.5
258,AN,,129.0,0.5
259,ATTRACTIVE,,129.5,0.5
260,PRIVATE,,130.0,0.5
261,BEACH,,130.5,0.5
262,CLUB,,131.0,0.5
263,AT,,131.5,0.5
264,HOME,,132.0,0.5
265,S,,132.5,0.5
266,[11],,133.0,0.5
267,SHE,,133.5,0.5
268,HAD,,134.0,0.5
269,ARRIVED,,134.5,0.5
270,THIS,,135.0,0.5
271,MORNING,,135.5,0.5
272,AND,,136.0,0.5
273,COME,,136.5,0.5
274,STRAIGHT,,137.0,0.5
275,TO,,137.5,0.5
276,THE,,138.0,0.5
277,ENGLISH,,138.5,0.5
278,GARDENS,,139.0,0.5
279,S,,139.5,0.5
280,[12],,140.0,0.5
281,WHEN,,140.5,0.5
282,HE,,141.0,0.5
283,GETS,,141.5,0.5
284,THE,,142.0,0.5
285,ANSWERS,,142.5,0.5
286,TO,,143.0,0.5
287,HIS,,143.5,0.5
288,QUESTIONS,,144.0,0.5
289,HE,,144.5,0.5
290,WILL,,145.0,0.5
291,BE,,145.5,0.5
292,DISCOURAGED,,146.0,0.5
293,S,,146.5,0.5
294,[10],,147.0,0.5
295,REE,,147.5,0.5
296,FLIOT,,148.0,0.5
297,HUD,,148.5,0.5
298,PABBED,,149.0,0.5
299,REE,,149.5,0.5
300,LOLKS,,150.0,0.5
301,COORDLOOM,,150.5,0.5
302,FOM,,151.0,0.5
303,HORE,,151.5,0.5
304,FRON,,152.0,0.5
305,O,,152.5,0.5
306,WOOK,,153.0,0.5
307,N,,153.5,0.5
308,[11],,154.0,0.5
309,BENGAN,,154.5,0.5
310,GRINGED,,155.0,0.5
311,OSE,,155.5,0.5
312,SPIPPED,,156.0,0.5
313,O,,156.5,0.5
314,RECK,,157.0,0.5
315,PITH,,157.5,0.5
316,HUS,,158.0,0.5
317,THURL,,158.5,0.5
318,LOKE,,159.0,0.5
319,O,,159.5,0.5
320,MONDLE,,160.0,0.5
321,N,,160.5,0.5
322,[12],,161.0,0.5
323,TRORE,,161.5,0.5
324,WAM,,162.0,0.5
325,SOILCLING,,162.5,0.5
326,MOCHES,,163.0,0.5
327,OSE,,163.5,0.5
328,BROKY,,164.0,0.5
329,ONIET,,164.5,0.5
330,OTS,,165.0,0.5
331,MOROON,,165.5,0.5
332,FROT,,166.0,0.5
333,DISTOLVES,,166.5,0.5
334,FREM,,167.0,0.5
335,N,,167.5,0.5
336,[13],,168.0,0.5
337,HU,,168.5,0.5
338,SPINT,,169.0,0.5
339,LONK,,169.5,0.5
340,HEERS,,170.0,0.5
341,LEFOSE,,170.5,0.5
342,REE,,171.0,0.5
343,PEREDISION,,171.5,0.5
344,PLUTTING,,172.0,0.5
345,OOT,,172.5,0.5
346,PRERIDES,,173.0,0.5
347,OY,,173.5,0.5
348,RESONGE,,174.0,0.5
349,N,,174.5,0.5
350,[14],,175.0,0.5
351,HU,,175.5,0.5
352,LOAKED,,176.0,0.5
353,FOM,,176.5,0.5
354,REE,,177.0,0.5
355,COURCE,,177.5,0.5
356,OY,,178.0,0.5
357,REE,,178.5,0.5
358,NOITS,,179.0,0.5
359,FROT,,179.5,0.5
360,HUD,,180.0,0.5
361,OFUKENED,,180.5,0.5
362,HOM,,181.0,0.5
363,N,,181.5,0.5
364,[15],,182.0,0.5
365,PLIN,,182.5,0.5
366,EXCETSION,,183.0,0.5
367,HOR,,183.5,0.5
368,BOUN,,184.0,0.5
369,WIING,,184.5,0.5
370,OD,,185.0,0.5
371,FOM,,185.5,0.5
372,OP,,186.0,0.5
373,OUTIKOTER,,186.5,0.5
374,EILED,,187.0,0.5
375,CULLION,,187.5,0.5
376,YIERS,,188.0,0.5
377,N,,188.5,0.5
378,[13],,189.0,0.5
379,WE,,189.5,0.5
380,MADE,,190.0,0.5
381,IT,,190.5,0.5
382,BACK,,191.0,0.5
383,TO,,191.5,0.5
384,THE,,192.0,0.5
385,HARBOR,,192.5,0.5
386,IN,,193.0,0.5
387,LESS,,193.5,0.5
388,THAN,,194.0,0.5
389,FOUR,,194.5,0.5
390,MINUTES,,195.0,0.5
391,S,,195.5,0.5
392,[14],,196.0,0.5
393,THERE,,196.5,0.5
394,IS,,197.0,0.5
395,A,,197.5,0.5
396,TANGIBLE,,198.0,0.5
397,FEELING,,198.5,0.5
398,IN,,199.0,0.5
399,THE,,199.5,0.5
400,AIR,,200.0,0.5
401,OF,,200.5,0.5
402,REVULSION,,201.0,0.5
403,TOWARD,,201.5,0.5
404,POLITICS,,202.0,0.5
405,S,,202.5,0.5
406,[15],,203.0,0.5
407,THEIR,,203.5,0.5
408,DUTIES,,204.0,0.5
409,INCLUDE,,204.5,0.5
410,EVALUATION,,205.0,0.5
411,OF,,205.5,0.5
412,THE,,206.0,0.5
413,INFORMATION,,206.5,0.5
414,COLLECTED,,207.0,0.5
415,AND,,207.5,0.5
416,PREPARATION,,208.0,0.5
417,OF,,208.5,0.5
418,RECOMMENDATIONS,,209.0,0.5
419,S,,209.5,0.5
420,[16],,210.0,0.5
421,NIR,,210.5,0.5
422,FOPE,,211.0,0.5
423,REEMED,,211.5,0.5
424,RO,,212.0,0.5
425,FLOOT,,212.5,0.5
426,EN,,213.0,0.5
427,OP,,213.5,0.5
428,INSCABDIBLY,,214.0,0.5
429,CLIGHT,,214.5,0.5
430,CHOFT,,215.0,0.5
431,OY,,215.5,0.5
432,PONLIGHT,,216.0,0.5
433,N,,216.5,0.5
434,[17],,217.0,0.5
435,REE,,217.5,0.5
436,RIZE,,218.0,0.5
437,OY,,218.5,0.5
438,WEOREN,,219.0,0.5
439,MOURD,,219.5,0.5
440,WIST,,220.0,0.5
441,DETERBOLS,,220.5,0.5
442,REE,,221.0,0.5
443,OSIENT,,221.5,0.5
444,OY,,222.0,0.5
445,CROY,,222.5,0.5
446,NOONED,,223.0,0.5
447,N,,223.5,0.5
448,[18],,224.0,0.5
449,E,,224.5,0.5
450,TEEK,,225.0,0.5
451,REE,,225.5,0.5
452,PAPE,,226.0,0.5
453,OSE,,226.5,0.5
454,CHEVEL,,227.0,0.5
455,OSE,,227.5,0.5
456,WEWS,,228.0,0.5
457,OOT,,228.5,0.5
458,OD,,229.0,0.5
459,REE,,229.5,0.5
460,POLKS,,230.0,0.5
461,N,,230.5,0.5
462,[16],,231.0,0.5
463,WITHIN,,231.5,0.5
464,TWO,,232.0,0.5
465,WEEKS,,232.5,0.5
466,WARREN,,233.0,0.5
467,WAS,,233.5,0.5
468,RINGING,,234.0,0.5
469,THE,,234.5,0.5
470,BELL,,235.0,0.5
471,AT,,235.5,0.5
472,THE,,236.0,0.5
473,ABBEY,,236.5,0.5
474,GATE,,237.0,0.5
475,S,,237.5,0.5
476,[17],,238.0,0.5
477,HE,,238.5,0.5
478,BELIEVED,,239.0,0.5
479,IN,,239.5,0.5
480,MAKING,,240.0,0.5
481,INSPIRING,,240.5,0.5
482,SPEECHES,,241.0,0.5
483,AND,,241.5,0.5
484,HE,,242.0,0.5
485,MADE,,242.5,0.5
486,A,,243.0,0.5
487,GREAT,,243.5,0.5
488,MANY,,244.0,0.5
489,S,,244.5,0.5
490,[18],,245.0,0.5
491,WE,,245.5,0.5
492,BOUGHT,,246.0,0.5
493,HIS,,246.5,0.5
494,RECORDS,,247.0,0.5
495,AND,,247.5,0.5
496,PLAYED,,248.0,0.5
497,THEM,,248.5,0.5
498,IN,,249.0,0.5
499,OUR,,249.5,0.5
500,SCHOOLS,,250.0,0.5
501,AND,,250.5,0.5
502,UNIVERSITIES,,251.0,0.5
503,S,,251.5,0.5
504,[19],,252.0,0.5
505,THE,,252.5,0.5
506,WINDSHIELD,,253.0,0.5
507,GLASS,,253.5,0.5
508,IS,,254.0,0.5
509,SHATTERPROOF,,254.5,0.5
510,AND,,255.0,0.5
511,PLEXIGLAS,,255.5,0.5
512,IS,,256.0,0.5
513,USED,,256.5,0.5
514,IN,,257.0,0.5
515,THE,,257.5,0.5
516,CABIN,,258.0,0.5
517,S,,258.5,0.5
518,[20],,259.0,0.5
519,STUDENT,,259.5,0.5
520,LEADERS,,260.0,0.5
521,BEGAN,,260.5,0.5
522,SPORADIC,,261.0,0.5
523,EFFORTS,,261.5,0.5
524,TO,,262.0,0.5
525,NEGOTIATE,,262.5,0.5
526,THEATER,,263.0,0.5
527,INTEGRATION,,263.5,0.5
528,SEVERAL,,264.0,0.5
529,MONTHS,,264.5,0.5
530,AGO,,265.0,0.5
531,S,,265.5,0.5
532,[21],,266.0,0.5
533,GOOD,,266.5,0.5
534,RADIO,,267.0,0.5
535,DRAMA,,267.5,0.5
536,HAS,,268.0,0.5
537,ITS,,268.5,0.5
538,OWN,,269.0,0.5
539,SPECIAL,,269.5,0.5
540,DEMANDS,,270.0,0.5
541,THAT,,270.5,0.5
542,BADLY,,271.0,0.5
543,NEED,,271.5,0.5
544,REINVIGORATION,,272.0,0.5
545,S,,272.5,0.5
546,[19],,273.0,0.5
547,WOM,,273.5,0.5
548,OS,,274.0,0.5
549,REE,,274.5,0.5
550,RECUNK,,275.0,0.5
551,OY,,275.5,0.5
552,MISSLIST,,276.0,0.5
553,OSE,,276.5,0.5
554,LONS,,277.0,0.5
555,OY,,277.5,0.5
556,OMPERPRONDING,,278.0,0.5
557,BESHOON,,278.5,0.5
558,DOOPLE,,279.0,0.5
559,N,,279.5,0.5
560,[20],,280.0,0.5
561,BRINSTON,,280.5,0.5
562,RETIFONTS,,281.0,0.5
563,HABS,,281.5,0.5
564,BOUN,,282.0,0.5
565,NOREROUS,,282.5,0.5
566,CONSCIKETORS,,283.0,0.5
567,RO,,283.5,0.5
568,REE,,284.0,0.5
569,FUKE,,284.5,0.5
570,IBER,,285.0,0.5
571,REE,,285.5,0.5
572,YIERS,,286.0,0.5
573,N,,286.5,0.5
574,[21],,287.0,0.5
575,GRENCELCA,,287.5,0.5
576,OSE,,288.0,0.5
577,HERSORT,,288.5,0.5
578,DERE,,289.0,0.5
579,OBUNG,,289.5,0.5
580,REE,,290.0,0.5
581,WEW,,290.5,0.5
582,DOOPLE,,291.0,0.5
583,DE,,291.5,0.5
584,WREW,,292.0,0.5
585,EN,,292.5,0.5
586,DORECONIO,,293.0,0.5
587,N,,293.5,0.5
588,[22],,294.0,0.5
589,PECTOR,,294.5,0.5
590,APAL,,295.0,0.5
591,WAM,,295.5,0.5
592,TUZZY,,296.0,0.5
593,UD,,296.5,0.5
594,SNONT,,297.0,0.5
595,PITH,,297.5,0.5
596,SOTH,,298.0,0.5
597,OY,,298.5,0.5
598,HUS,,299.0,0.5
599,LIMS,,299.5,0.5
600,PORIENDS,,300.0,0.5
601,N,,300.5,0.5
602,[23],,301.0,0.5
603,SOTH,,301.5,0.5
604,DOOPLE,,302.0,0.5
605,CAG,,302.5,0.5
606,COSMS,,303.0,0.5
607,OLBUST,,303.5,0.5
608,OTUBLING,,304.0,0.5
609,OOT,,304.5,0.5
610,OY,,305.0,0.5
611,O,,305.5,0.5
612,PIEKS,,306.0,0.5
613,OY,,306.5,0.5
614,DOOD,,307.0,0.5
615,N,,307.5,0.5
616,[24],,308.0,0.5
617,HU,,308.5,0.5
618,DEES,,309.0,0.5
619,VOT,,309.5,0.5
620,REEM,,310.0,0.5
621,RO,,310.5,0.5
622,HABS,,311.0,0.5
623,CAINTS,,311.5,0.5
624,REE,,312.0,0.5
625,SURQUENIES,,312.5,0.5
626,OY,,313.0,0.5
627,REE,,313.5,0.5
628,LAN,,314.0,0.5
629,N,,314.5,0.5
630,[22],,315.0,0.5
631,THE,,315.5,0.5
632,MAYOR,,316.0,0.5
633,IS,,316.5,0.5
634,FINDING,,317.0,0.5
635,IT,,317.5,0.5
636,AWKWARD,,318.0,0.5
637,TO,,318.5,0.5
638,CAMPAIGN,,319.0,0.5
639,AGAINST,,319.5,0.5
640,HIS,,320.0,0.5
641,OWN,,320.5,0.5
642,RECORD,,321.0,0.5
643,S,,321.5,0.5
644,[23],,322.0,0.5
645,HER,,322.5,0.5
646,MOTHER,,323.0,0.5
647,ALSO,,323.5,0.5
648,WAS,,324.0,0.5
649,A,,324.5,0.5
650,PERSON,,325.0,0.5
651,OF,,325.5,0.5
652,SUPERIOR,,326.0,0.5
653,MIND,,326.5,0.5
654,AND,,327.0,0.5
655,BROAD,,327.5,0.5
656,INTERESTS,,328.0,0.5
657,S,,328.5,0.5
658,[24],,329.0,0.5
659,THE,,329.5,0.5
660,OTHERS,,330.0,0.5
661,LIKEWISE,,330.5,0.5
662,HAD,,331.0,0.5
663,HIDDEN,,331.5,0.5
664,THEMSELVES,,332.0,0.5
665,IN,,332.5,0.5
666,THE,,333.0,0.5
667,GRASS,,333.5,0.5
668,AND,,334.0,0.5
669,THE,,334.5,0.5
670,BRUSH,,335.0,0.5
671,S,,335.5,0.5
